Comp_Name	Box_Name	Subtype_NO	BoardIn_NO	Scan_NO	CAD_X	CAD_Y	CAD_Width	CAD_Height	Board_Side	Solder_ThicknessN1_Layer1	Solder_Area_Layer1	Absolute_Height_Layer1	Solder_ThicknessN1_Layer2	Solder_Area_Layer2	Absolute_Height_Layer2	Solder_ThicknessN1_Layer3	Solder_Area_Layer3	Solder_PTH_Filling_PIP_Layer3	Absolute_Height_Layer3	Short_Left1_Layer4	Short_Top1_Layer4	Short_Right1_Layer4	Short_Bottom1_Layer4	Absolute_Height_Layer4	Location_X(pixel)	Location_Y(pixel)	Initial_H	Retry_H	Laser_Height	
C101_1	2	0	1	1	114.650	234.550	1.500	1.500	Bottom	15.8	0.5805	-0.304625	33.7	1.0395	-1.254624	41.2	0.5930	100.0000	-1.729625	0.0	0.0	0.0	0.0	-2.204624	9603	4266	-2.204625	-2.204624	-2.204625	
C101_1	2	0	1	2	114.650	234.550	1.500	1.500	Bottom	16.0	0.5359	-0.303556	33.3	1.0395	-1.253556	40.9	0.5930	100.0000	-1.728556	0.0	0.0	0.0	0.0	-2.203556	9603	4266	-2.203556	-2.203556	-2.203556	
C101_1	2	0	1	3	114.650	234.550	1.500	1.500	Bottom	16.0	0.4797	-0.303840	33.5	1.0395	-1.253840	41.1	0.5930	100.0000	-1.728840	0.0	0.0	0.0	0.0	-2.203840	9603	4266	-2.203840	-2.203840	-2.203840	
C101_1	2	0	1	4	114.650	234.550	1.500	1.500	Bottom	15.9	0.5042	-0.303688	33.6	1.0395	-1.253688	41.2	0.5930	100.0000	-1.728688	0.0	0.0	0.0	0.0	-2.203687	9602	4266	-2.203687	-2.203687	-2.203687	
C101_1	2	0	1	5	114.650	234.550	1.500	1.500	Bottom	16.0	0.5122	-0.304068	33.6	1.0395	-1.254068	41.1	0.5930	100.0000	-1.729068	0.0	0.0	0.0	0.0	-2.204068	9603	4267	-2.204068	-2.204068	-2.204068	
C101_1	2	0	1	6	114.650	234.550	1.500	1.500	Bottom	15.8	0.4993	-0.304915	33.9	1.0395	-1.254915	41.0	0.5930	100.0000	-1.729915	0.0	0.0	0.0	0.0	-2.204915	9603	4267	-2.204915	-2.204915	-2.204915	
C101_1	2	0	1	7	114.650	234.550	1.500	1.500	Bottom	15.9	0.5544	-0.304916	33.8	1.0395	-1.254916	41.1	0.5930	100.0000	-1.729916	0.0	0.0	0.0	0.0	-2.204916	9603	4267	-2.204916	-2.204916	-2.204916	
C101_1	2	0	1	8	114.650	234.550	1.500	1.500	Bottom	15.8	0.5363	-0.305395	33.8	1.0395	-1.255395	41.1	0.5930	100.0000	-1.730395	0.0	0.0	0.0	0.0	-2.205395	9603	4267	-2.205395	-2.205395	-2.205395	
C101_1	2	0	1	9	114.650	234.550	1.500	1.500	Bottom	15.7	0.4543	-0.304016	33.5	1.0395	-1.254016	41.0	0.5930	100.0000	-1.729016	0.0	0.0	0.0	0.0	-2.204016	9603	4267	-2.204016	-2.204016	-2.204016	
C101_1	2	0	1	10	114.650	234.550	1.500	1.500	Bottom	15.8	0.5335	-0.305242	33.9	1.0395	-1.255242	41.0	0.5930	100.0000	-1.730242	0.0	0.0	0.0	0.0	-2.205242	9603	4267	-2.205242	-2.205242	-2.205242	
